term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;pt-PT;pt-PT_description
Submit to manager;;no;yes;no;;Submit to manager;;Enviar ao gestor;
Submitted;;no;yes;no;;Submitted;;Enviado;
Success;;no;yes;no;;Success;;Sucesso;
Suggested agenda;;no;yes;no;;Suggested agenda;;Agenda sugerida;
Sum;;no;yes;no;;Sum;;Soma;
Summary;;no;yes;no;;Summary;;Resumo;
System;;no;yes;no;;System;;Sistema;
System populations;;no;yes;no;;System populations;;Populações do sistema;
Tag;;no;yes;no;;Tag;;Etiqueta;
Tag library;;no;yes;no;;Tag library;;Biblioteca de etiquetas;
Tags;;no;yes;no;;Tags;;Etiquetas;
Talent Review;;no;yes;no;;Talent Review;;Revisão de Talento;
Target;;no;yes;no;;Target;;Destino;
Target bonus;;no;yes;no;;Target bonus;;Bónus objetivo;
Target budget;;no;yes;no;;Target budget;;Orçamento alvo;
Team;;no;yes;no;;Team;;Equipa;
Team planner view;;no;yes;no;;Team planner view;;Vista do planeador de equipa;
Team requests;;no;yes;no;;Team requests;;Pedidos da equipa;
Template;;no;yes;no;;Template;;Modelo;
Template document;;no;yes;no;;Template document;;Documento modelo;
Template widget settings;;no;yes;no;;Template widget settings;;Configurações do widget de modelo;
Templates;;no;yes;no;;Templates;;Modelos;
Text;;no;yes;no;;Text;;Texto;
Text field;;no;yes;no;;Text field;;Campo de texto;
Thanks;;no;yes;no;;Thanks;;Obrigado;
Then;;no;yes;no;;Then;;Depois;
Time in role;;no;yes;no;;Time in role;;Tempo na função;
Time zone;;no;yes;no;;Time zone;;Fuso horário;
Timeline;;no;yes;no;;Timeline;;Linha do tempo;
Title;;no;yes;no;;Title;;Título;
Today;;no;yes;no;;Today;;Hoje;
Toggle;;no;yes;no;;Toggle;;Alternar;
Total behaviors;;no;yes;no;;Total behaviors;;Total de comportamentos;
Total compensation;;no;yes;no;;Total compensation;;Compensação total;
Total entities;;no;yes;no;;Total entities;;Total de entidades;
Total goals;;no;yes;no;;Total goals;;Total de golos;
Total reviews;;no;yes;no;;Total reviews;;Total de avaliações;
Total score;;no;yes;no;;Total score;;Pontuação total;
Total workers;;no;yes;no;;Total workers;;Total de trabalhadores;
Tracking;;no;yes;no;;Tracking;;Rastreamento;
Tracking status;;no;yes;no;;Tracking status;;Estado de monitorização;
Training data;;no;yes;no;;Training data;;Dados de formação;
Trend;;no;yes;no;;Trend;;Tendência;
True;;no;yes;no;;True;;Verdadeiro;
Trust;;no;yes;no;;Trust;;Confiança;
Try again;;no;yes;no;;Try again;;Tente novamente;
Type;;no;yes;no;;Type;;Tipo;
Type part of a name;;no;yes;no;;Type part of a name;;Escreva parte de um nome;
Type weight;;no;yes;no;;Type weight;;Peso do tipo;
Type your message here;;no;yes;no;;Type your message here;;Escreva a sua mensagem aqui;
Types;;no;yes;no;;Types;;Tipos;
Unavailable;;no;yes;no;;Unavailable;;Indisponível;
Unclear;;no;yes;no;;Unclear;;Pouco claro;
Under review;;no;yes;no;;Under review;;Em avaliação;
Unexpected error;;no;yes;no;;Unexpected error;;Erro inesperado;
Unhelpful;;no;yes;no;;Unhelpful;;Pouco útil;
Unique logins;;no;yes;no;;Unique logins;;Inícios de sessão únicos;
Unit;;no;yes;no;;Unit;;Unidade;
Unrated;;no;yes;no;;Unrated;;Sem classificação;
Unrelease;;no;yes;no;;Unrelease;;Anular disponibilização;
Unreleased;;no;yes;no;;Unreleased;;Disponibilização anulada;
Unsaved changes;;no;yes;no;;Unsaved changes;;Alterações não guardadas;
Unselect all;;no;yes;no;;Unselect all;;Desmarcar todos;
Upcoming;;no;yes;no;;Upcoming;;Próximos;
Upcoming check-ins;;no;yes;no;;Upcoming check-ins;;Próximos check-ins;
Update;;no;yes;no;;Update;;Atualização;
Updated;;no;yes;no;;Updated;;Atualizado;
Updated by;;no;yes;no;;Updated by;;Atualizado por;
Upload;;no;yes;no;;Upload;;Carregar;
Upload behavior;;no;yes;no;;Upload behavior;;Comportamento de carregamento;
Upload file;;no;yes;no;;Upload file;;Carregar ficheiro;
Upload the completed file;;no;yes;no;;Upload the completed file;;Carregar o ficheiro concluído;
Upload the modified Excel file;;no;yes;no;;Upload the modified Excel file;;Carregar o ficheiro Excel modificado;
Uploaded by;;no;yes;no;;Uploaded by;;Carregado por;
Uploaded files;;no;yes;no;;Uploaded files;;Ficheiros carregados;
Uploading;;no;yes;no;;Uploading;;A carregar;
Usage;;no;yes;no;;Usage;;Utilização;
Usage details;;no;yes;no;;Usage details;;Detalhes de utilização;
Used;;no;yes;no;;Used;;Usado;
Used in;;no;yes;no;;Used in;;Usado em;
Useful information;;no;yes;no;;Useful information;;Informação útil;
User;;no;yes;no;;User;;Utilizador;
User Security;;no;yes;no;;User Security;;Segurança do Utilizador;
User local time;;no;yes;no;;User local time;;Hora local do utilizador;
Username;;no;yes;no;;Username;;Nome de utilizador;
Users;;no;yes;no;;Users;;Utilizadores;
Users who sent feedback;;no;yes;no;;Users who sent feedback;;Utilizadores que enviaram feedback;
Users with no goals;;no;yes;no;;Users with no goals;;Utilizadores sem objetivos;
Validate;;no;yes;no;;Validate;;Validar;
Validation;;no;yes;no;;Validation;;Validação;
Value;;no;yes;no;;Value;;Valor;
Values;;no;yes;no;;Values;;Valores;
Version;;no;yes;no;;Version;;Versão;
View;;no;yes;no;;View;;Ver;
View all;;no;yes;no;;View all;;Ver todos;
View my received feedback;;no;yes;no;;View my received feedback;;Ver o meu feedback recebido;
View review;;no;yes;no;;View review;;Ver avaliação;
Visibility;;no;yes;no;;Visibility;;Visibilidade;
Weight;;no;yes;no;;Weight;;Peso;
Weighted score;;no;yes;no;;Weighted score;;Pontuação ponderada;
Widget settings;;no;yes;no;;Widget settings;;Configurações do widget;
Work country;;no;yes;no;;Work country;;País de trabalho;
Workbench;;no;yes;no;;Workbench;;Bancada de trabalho;
Worker;;no;yes;no;;Worker;;Trabalhador;
Worker & manager;;no;yes;no;;Worker & manager;;Colaborador e gestor;
Worker ID;;no;yes;no;;Worker ID;;ID do Trabalhador;
Worker category;;no;yes;no;;Worker category;;Categoria de trabalhador;
Worker details;;no;yes;no;;Worker details;;Detalhes do colaborador;
Worker name;;no;yes;no;;Worker name;;Nome do trabalhador;
Worker self-assessment;;no;yes;no;;Worker self-assessment;;Autoavaliação do trabalhador;
Worker sign-off;;no;yes;no;;Worker sign-off;;Aprovação do colaborador;
Worker submission;;no;yes;no;;Worker submission;;Submissão do trabalhador;
Workers;;no;yes;no;;Workers;;Trabalhadores;
Workflow;;no;yes;no;;Workflow;;Fluxo de trabalho;
Workflow section;;no;yes;no;;Workflow section;;Seção do fluxo de trabalho;
Workflow status;;no;yes;no;;Workflow status;;Estado do fluxo de trabalho;
Workflow step;;no;yes;no;;Workflow step;;Etapa do fluxo de trabalho;
Workflow steps;;no;yes;no;;Workflow steps;;Etapas do fluxo de trabalho;
Workflow type;;no;yes;no;;Workflow type;;Tipo de fluxo de trabalho;
Write;;no;yes;no;;Write;;Escrever;
Year;;no;yes;no;;Year;;Ano;
Years;;no;yes;no;;Years;;Anos;
Your comment;;no;yes;no;;Your comment;;O seu comentário;
Your documents;;no;yes;no;;Your documents;;Os seus documentos;
Your email;;no;yes;no;;Your email;;O seu e-mail;
Your observations;;no;yes;no;;Your observations;;As suas observações;
Your view;;no;yes;no;;Your view;;A sua vista;
