term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;th-TH;th-TH_description
Reminder name;;no;yes;no;;Reminder name;;ชื่อการเตือนความจำ;
Reminders;;no;yes;no;;Reminders;;การแจ้งเตือน;
Remove;;no;yes;no;;Remove;;ลบออก;
Remove all;;no;yes;no;;Remove all;;ลบทั้งหมด;
Rename;;no;yes;no;;Rename;;เปลี่ยนชื่อ;
Reopen;;no;yes;no;;Reopen;;เปิดใหม่อีกครั้ง;
Reopen reviews;;no;yes;no;;Reopen reviews;;เปิดการประเมินอีกครั้ง;
Reopened;;no;yes;no;;Reopened;;เปิดใหม่อีกครั้ง;
Reply rate;;no;yes;no;;Reply rate;;อัตราการตอบกลับ;
Reports;;no;yes;no;;Reports;;รายงาน;
Republish;;no;yes;no;;Republish;;เผยแพร่ซ้ำ;
Republished round;;no;yes;no;;Republished round;;รอบการเผยแพร่ซ้ำ;
Request;;no;yes;no;;Request;;ขอ;
Request ID;;no;yes;no;;Request ID;;รหัสคำขอ;
Request date;;no;yes;no;;Request date;;วันที่คำขอ;
Request details;;no;yes;no;;Request details;;รายละเอียดคำร้องขอ;
Request feedback;;no;yes;no;;Request feedback;;ขอฟีคแบค;
Request feedback from;;no;yes;no;;Request feedback from;;ขอฟีดแบคจาก;
Request feedback now;;no;yes;no;;Request feedback now;;ขอฟีดแบคตอนนี้;
Request feedback on;;no;yes;no;;Request feedback on;;ขอฟีดแบคเกี่ยวกับ;
Request pay information;;no;yes;no;;Request pay information;;ขอข้อมูลการจ่ายเงิน;
Request status;;no;yes;no;;Request status;;สถานะคำขอ;
Requested;;no;yes;no;;Requested;;ส่งคำขอแล้ว;
Requested feedback;;no;yes;no;;Requested feedback;;ขอฟีดแบคแล้ว;
Requests;;no;yes;no;;Requests;;คำขอ;
Requests about my team;;no;yes;no;;Requests about my team;;คำขอเกี่ยวกับทีมของฉัน;
Required;;no;yes;no;;Required;;ที่จำเป็น;
Resources;;no;yes;no;;Resources;;ทรัพยากร;
Response permission;;no;yes;no;;Response permission;;สิทธิ์การตอบกลับ;
Resubmit;;no;yes;no;;Resubmit;;ส่งใหม่อีกครั้ง;
Result;;no;yes;no;;Result;;ผลลัพธ์;
Review;;no;yes;no;;Review;;การตรวจสอบ;
Review Details;;no;yes;no;;Review Details;;รายละเอียดการทบทวน;
Review Status;;no;yes;no;;Review Status;;สถานะการทบทวน;
Review about;;no;yes;no;;Review about;;การตรวจสอบเกี่ยวกับ;
Review challenge;;no;yes;no;;Review challenge;;ท้าทายผลการประเมิน;
Review name;;no;yes;no;;Review name;;ชื่อการประเมิน;
Review rating;;no;yes;no;;Review rating;;คะแนนการประเมิน;
Review rating distribution;;no;yes;no;;Review rating distribution;;การกระจายเรตติ้งของการทบทวน;
Review settings;;no;yes;no;;Review settings;;การตั้งค่าการประเมินผลงาน;
Review stage;;no;yes;no;;Review stage;;ขั้นตอนการประเมินผลงาน;
Review stages;;no;yes;no;;Review stages;;ขั้นตอนการประเมินผลงาน;
Review status;;no;yes;no;;Review status;;สถานะการประเมินผลงาน;
Review type;;no;yes;no;;Review type;;ประเภทการประเมินผลงาน;
Reviews;;no;yes;no;;Reviews;;การตรวจสอบ;
Role;;no;yes;no;;Role;;บทบาท;
Roles;;no;yes;no;;Roles;;บทบาท;
Round;;no;yes;no;;Round;;รอบ;
Round code;;no;yes;no;;Round code;;รหัสรอบ;
Round details;;no;yes;no;;Round details;;รายละเอียดรอบ;
Round reminders;;no;yes;no;;Round reminders;;การเตือนในรอบ;
Round republished;;no;yes;no;;Round republished;;รอบถูกเผยแพร่อีกครั้ง;
Round type;;no;yes;no;;Round type;;ประเภทของรอบ;
Round visibility;;no;yes;no;;Round visibility;;การมองเห็นของรอบ;
Rule configuration;;no;yes;no;;Rule configuration;;การกำหนดค่ากฎ;
Rule details;;no;yes;no;;Rule details;;รายละเอียดกฎ;
Rule name;;no;yes;no;;Rule name;;ชื่อกฎ;
Rules;;no;yes;no;;Rules;;กฎ;
Salary;;no;yes;no;;Salary;;เงินเดือน;
Salary configuration;;no;yes;no;;Salary configuration;;การกำหนดค่าระบบเงินเดือน;
Save;;no;yes;no;;Save;;บันทึก;
Save & exit;;no;yes;no;;Save & exit;;บันทึกและออก;
Scale;;no;yes;no;;Scale;;ขนาด;
Search;;no;yes;no;;Search;;ค้นหา;
Search by name;;no;yes;no;;Search by name;;ค้นหาตามชื่อ;
Search by name or code;;no;yes;no;;Search by name or code;;ค้นหาด้วยชื่อหรือรหัส;
Search for a person;;no;yes;no;;Search for a person;;ค้นหาบุคคล;
Search for a worker;;no;yes;no;;Search for a worker;;ค้นหาพนักงาน;
Search for workers;;no;yes;no;;Search for workers;;ค้นหาพนักงาน;
Secondary email;;no;yes;no;;Secondary email;;อีเมลสำรอง;
Secondary email address;;no;yes;no;;Secondary email address;;ที่อยู่อีเมลรอง;
Secondary hierarchy;;no;yes;no;;Secondary hierarchy;;ลำดับชั้นรอง;
Section header;;no;yes;no;;Section header;;หัวข้อส่วน;
Security;;no;yes;no;;Security;;ความปลอดภัย;
Security group;;no;yes;no;;Security group;;กลุ่มความปลอดภัย;
See all;;no;yes;no;;See all;;ดูทั้งหมด;
Select;;no;yes;no;;Select;;เลือก;
Select all;;no;yes;no;;Select all;;เลือกทั้งหมด;
Select an option;;no;yes;no;;Select an option;;เลือกตัวเลือก;
Select communication round;;no;yes;no;;Select communication round;;เลือกช่วงการสื่อสาร;
Select data model;;no;yes;no;;Select data model;;เลือกแบบจำลองข้อมูล;
Select entity;;no;yes;no;;Select entity;;เลือกเอนทิตี;
Select filters;;no;yes;no;;Select filters;;เลือกตัวกรอง;
Select goal;;no;yes;no;;Select goal;;เลือกเป้าหมาย;
Select owners;;no;yes;no;;Select owners;;เลือกเจ้าของ;
Select population;;no;yes;no;;Select population;;เลือกกลุ่มพนักงาน;
Select the compensation element;;no;yes;no;;Select the compensation element;;เลือกองค์ประกอบค่าตอบแทน;
Select type;;no;yes;no;;Select type;;เลือกประเภท;
Selected;;no;yes;no;;Selected;;เลือกแล้ว;
Selected column;;no;yes;no;;Selected column;;คอลัมน์ที่เลือก;
Selected fields;;no;yes;no;;Selected fields;;ฟิลด์ที่เลือก;
Selected items;;no;yes;no;;Selected items;;รายการที่เลือก;
Selected population;;no;yes;no;;Selected population;;กลุ่มพนักงานที่เลือก;
Self;;no;yes;no;;Self;;ตัวเอง;
Self-assessment;;no;yes;no;;Self-assessment;;การประเมินตนเอง;
Self-review;;no;yes;no;;Self-review;;การประเมินตนเอง;
Send;;no;yes;no;;Send;;ส่ง;
Send feedback;;no;yes;no;;Send feedback;;ส่งฟีดแบค;
Send to Documents;;no;yes;no;;Send to Documents;;ส่งไปยังเอกสาร;
Sender;;no;yes;no;;Sender;;ผู้ส่ง;
Sensitive Content;;no;yes;no;;Sensitive Content;;เนื้อหาที่ละเอียดอ่อน;
Sent;;no;yes;no;;Sent;;ส่งแล้ว;
Sent behaviors;;no;yes;no;;Sent behaviors;;พฤติกรรมที่ส่งแล้ว;
Sent feedback;;no;yes;no;;Sent feedback;;ส่งฟีดแบคแล้ว;
Sent to;;no;yes;no;;Sent to;;ส่งถึง;
Separator;;no;yes;no;;Separator;;ตัวคั่น;
Session timeout;;no;yes;no;;Session timeout;;หมดเวลาเซสชัน;
Settings;;no;yes;no;;Settings;;การตั้งค่า;
Share;;no;yes;no;;Share;;แบ่งปัน;
Share feedback;;no;yes;no;;Share feedback;;แบ่งปันฟีดแบค;
Share this feedback;;no;yes;no;;Share this feedback;;แบ่งปันฟีดแบคนี้;
Share with;;no;yes;no;;Share with;;แบ่งปันกับ;
Share your insights;;no;yes;no;;Share your insights;;แบ่งปันข้อมูลเชิงลึกของคุณ;
Share your thoughts;;no;yes;no;;Share your thoughts;;แบ่งปันความคิดของคุณ;
Shared;;no;yes;no;;Shared;;แบ่งปันแล้ว;
Shared feedback;;no;yes;no;;Shared feedback;;ฟีดแบคที่แบ่งปัน;
Shared goals;;no;yes;no;;Shared goals;;เป้าหมายร่วมกัน;
Shared with;;no;yes;no;;Shared with;;แบ่งปันแล้วกับ;
Shared with me;;no;yes;no;;Shared with me;;แบ่งปันกับฉัน;
Sharing;;no;yes;no;;Sharing;;การแบ่งปัน;
Short;;no;yes;no;;Short;;สั้น;
Show;;no;yes;no;;Show;;แสดง;
Show all;;no;yes;no;;Show all;;แสดงทั้งหมด;
Since request;;no;yes;no;;Since request;;ตั้งแต่มีการร้องขอ;
Situation;;no;yes;no;;Situation;;สถานการณ์;
Situations;;no;yes;no;;Situations;;สถานการณ์;
Skill & Competency Groups;;no;yes;no;;Skill & Competency Groups;;กลุ่มทักษะและความสามารถ;
Skill & competency groups;;no;yes;no;;Skill & competency groups;;กลุ่มทักษะและความสามารถ;
Skills;;no;yes;no;;Skills;;ทักษะ;
Skills & competency groups;;no;yes;no;;Skills & competency groups;;กลุ่มทักษะและความสามารถ;
Snapshot;;no;yes;no;;Snapshot;;สแน็ปช็อต;
Snapshot Manager;;no;yes;no;;Snapshot Manager;;ตัวจัดการ Snapshot;
Snapshot details;;no;yes;no;;Snapshot details;;รายละเอียด Snapshot;
Snapshots;;no;yes;no;;Snapshots;;สแนปชอต;
Source;;no;yes;no;;Source;;แหล่งที่มา;
Stage;;no;yes;no;;Stage;;ขั้นตอน;
Standard;;no;yes;no;;Standard;;มาตรฐาน;
Start;;no;yes;no;;Start;;เริ่มต้น;
Start date;;no;yes;no;;Start date;;วันที่เริ่มต้น;
Start date in company;;no;yes;no;;Start date in company;;วันที่เริ่มงานในบริษัท;
Start time;;no;yes;no;;Start time;;เวลาเริ่มต้น;
State;;no;yes;no;;State;;รัฐ;
Statement generation;;no;yes;no;;Statement generation;;การสร้างรายงานบัญชี;
Statements;;no;yes;no;;Statements;;คำชี้แจง;
Status;;no;yes;no;;Status;;สถานะ;
Status by org. level;;no;yes;no;;Status by org. level;;สถานะตามระดับองค์กร;
Step curve;;no;yes;no;;Step curve;;ขั้นบันได;
Step end date;;no;yes;no;;Step end date;;วันที่สิ้นสุดขั้นตอน;
Stock;;no;yes;no;;Stock;;สต็อก;
Street address;;no;yes;no;;Street address;;ที่อยู่ถนน;
Subgroups;;no;yes;no;;Subgroups;;กลุ่มย่อย;
Subject;;no;yes;no;;Subject;;เรื่อง;
Submit;;no;yes;no;;Submit;;ส่ง;
Submit to manager;;no;yes;no;;Submit to manager;;ส่งให้หัวหน้างาน;
Submitted;;no;yes;no;;Submitted;;ส่งแล้ว;
Success;;no;yes;no;;Success;;สำเร็จ;
Suggested agenda;;no;yes;no;;Suggested agenda;;วาระการประชุมที่แนะนำ;
Sum;;no;yes;no;;Sum;;ผลรวม;
Summary;;no;yes;no;;Summary;;สรุป;
System;;no;yes;no;;System;;ระบบ;
System populations;;no;yes;no;;System populations;;กลุ่มประชากรของระบบ;
TOTAL;;no;yes;no;;TOTAL;;รวมทั้งหมด;
Tag;;no;yes;no;;Tag;;แท็ก;
Tag library;;no;yes;no;;Tag library;;แท็กไลบรารี;
Tags;;no;yes;no;;Tags;;แท็ก;
Talent Review;;no;yes;no;;Talent Review;;การทบทวนศักยภาพบุคลากร;
Target;;no;yes;no;;Target;;เป้าหมาย;
Target bonus;;no;yes;no;;Target bonus;;โบนัสเป้าหมาย;
Target budget;;no;yes;no;;Target budget;;งบประมาณเป้าหมาย;
Team planner view;;no;yes;no;;Team planner view;;มุมมองแพลนเนอร์ของทีม;
Team requests;;no;yes;no;;Team requests;;คำขอทีม;
Template;;no;yes;no;;Template;;เทมเพลต;
Template document;;no;yes;no;;Template document;;เอกสารแม่แบบ;
Template widget settings;;no;yes;no;;Template widget settings;;การตั้งค่าวิดเจ็ตแม่แบบ;
Templates;;no;yes;no;;Templates;;เทมเพลต;
Text;;no;yes;no;;Text;;ข้อความ;
Text field;;no;yes;no;;Text field;;ฟิลด์ข้อความ;
Thanks;;no;yes;no;;Thanks;;ขอบคุณ;
Then;;no;yes;no;;Then;;จากนั้น;
Time in role;;no;yes;no;;Time in role;;ระยะเวลาในบทบาท;
Time zone;;no;yes;no;;Time zone;;โซนเวลา;
Timeline;;no;yes;no;;Timeline;;ไทม์ไลน์;
Title;;no;yes;no;;Title;;ชื่อ;
Today;;no;yes;no;;Today;;วันนี้;
Toggle;;no;yes;no;;Toggle;;สลับ;
Total;;no;yes;no;;Total;;ทั้งหมด;
Total behaviors;;no;yes;no;;Total behaviors;;พฤติกรรมทั้งหมด;
Total compensation;;no;yes;no;;Total compensation;;ผลตอบแทนรวม;
Total entities;;no;yes;no;;Total entities;;เอนทิตีทั้งหมด;
Total goals;;no;yes;no;;Total goals;;จำนวนประตูทั้งหมด;
Total reviews;;no;yes;no;;Total reviews;;การประเมินทั้งหมด;
Total score;;no;yes;no;;Total score;;คะแนนรวม;
Total workers;;no;yes;no;;Total workers;;จำนวนพนักงานทั้งหมด;
Tracking;;no;yes;no;;Tracking;;การติดตาม;
Tracking status;;no;yes;no;;Tracking status;;สถานะการติดตาม;
Training data;;no;yes;no;;Training data;;ข้อมูลการฝึกอบรม;
Trend;;no;yes;no;;Trend;;แนวโน้ม;
True;;no;yes;no;;True;;จริง;
Trust;;no;yes;no;;Trust;;ความไว้วางใจ;
Try again;;no;yes;no;;Try again;;ลองอีกครั้ง;
Type;;no;yes;no;;Type;;ประเภท;
Type part of a name;;no;yes;no;;Type part of a name;;พิมพ์ส่วนหนึ่งของชื่อ;
Type weight;;no;yes;no;;Type weight;;ประเภทน้ำหนัก;
Type your message here;;no;yes;no;;Type your message here;;พิมพ์ข้อความของคุณที่นี่;
Types;;no;yes;no;;Types;;ประเภท;
Unavailable;;no;yes;no;;Unavailable;;ไม่พร้อมใช้งาน;
Unclear;;no;yes;no;;Unclear;;ไม่ชัดเจน;
Under review;;no;yes;no;;Under review;;อยู่ระหว่างการประเมินผลงาน;
Unexpected error;;no;yes;no;;Unexpected error;;เกิดข้อผิดพลาดที่ไม่คาดคิด;
Unhelpful;;no;yes;no;;Unhelpful;;ไม่มีประโยชน์;
Unique logins;;no;yes;no;;Unique logins;;การเข้าสู่ระบบแบบไม่ซ้ำ;
Unit;;no;yes;no;;Unit;;หน่วย;
Unrated;;no;yes;no;;Unrated;;ไม่ได้รับการจัดอันดับ;
Unrelease;;no;yes;no;;Unrelease;;ยกเลิกการเผยแพร่;
Unreleased;;no;yes;no;;Unreleased;;ยังไม่ได้เผยแพร่;
Unsaved changes;;no;yes;no;;Unsaved changes;;การเปลี่ยนแปลงที่ยังไม่ได้บันทึก;
Unselect all;;no;yes;no;;Unselect all;;ยกเลิกการเลือกทั้งหมด;
Upcoming;;no;yes;no;;Upcoming;;กำลังจะเกิดขึ้น;
Upcoming check-ins;;no;yes;no;;Upcoming check-ins;;การเช็คอินที่กําลังจะมาถึง;
Update;;no;yes;no;;Update;;อัปเดต;
Updated;;no;yes;no;;Updated;;อัปเดตแล้ว;
Updated by;;no;yes;no;;Updated by;;อัปเดตโดย;
Upload;;no;yes;no;;Upload;;อัปโหลด;
Upload behavior;;no;yes;no;;Upload behavior;;อัปโหลดพฤติกรรม;
Upload file;;no;yes;no;;Upload file;;อัปโหลดไฟล์;
Upload the completed file;;no;yes;no;;Upload the completed file;;อัปโหลดไฟล์ที่เสร็จสมบูรณ์;
Upload the modified Excel file;;no;yes;no;;Upload the modified Excel file;;อัปโหลดไฟล์ Excel ที่แก้ไขแล้ว;
Uploaded by;;no;yes;no;;Uploaded by;;อัปโหลดโดย;
Uploaded files;;no;yes;no;;Uploaded files;;ไฟล์ที่อัปโหลด;
Uploading;;no;yes;no;;Uploading;;กำลังอัปโหลด;
Usage;;no;yes;no;;Usage;;การใช้งาน;
Usage details;;no;yes;no;;Usage details;;รายละเอียดการใช้งาน;
Used;;no;yes;no;;Used;;ใช้แล้ว;
Used in;;no;yes;no;;Used in;;ใช้ใน;
Useful information;;no;yes;no;;Useful information;;ข้อมูลที่เป็นประโยชน์;
User;;no;yes;no;;User;;ผู้ใช้;
User Security;;no;yes;no;;User Security;;ความปลอดภัยของผู้ใช้;
User local time;;no;yes;no;;User local time;;เวลาท้องถิ่นของผู้ใช้;
Username;;no;yes;no;;Username;;ชื่อผู้ใช้;
Users;;no;yes;no;;Users;;ผู้ใช้;
Users who sent feedback;;no;yes;no;;Users who sent feedback;;ผู้ใช้ที่ส่งคำติชม;
Users with no goals;;no;yes;no;;Users with no goals;;ผู้ใช้ที่ไม่มีเป้าหมาย;
Validation;;no;yes;no;;Validation;;การตรวจสอบความถูกต้อง;
Value;;no;yes;no;;Value;;ค่า;
Values;;no;yes;no;;Values;;ค่านิยม;
Version;;no;yes;no;;Version;;เวอร์ชัน;
View;;no;yes;no;;View;;ดู;
View all;;no;yes;no;;View all;;ดูทั้งหมด;
View my received feedback;;no;yes;no;;View my received feedback;;ดูฟีดแบคที่ฉันได้รับ;
View review;;no;yes;no;;View review;;ดูการประเมินผลงาน;
Visibility;;no;yes;no;;Visibility;;การมองเห็น;
Weight;;no;yes;no;;Weight;;น้ำหนัก;
Weighted score;;no;yes;no;;Weighted score;;คะแนนถ่วงน้ำหนัก;
Widget settings;;no;yes;no;;Widget settings;;การตั้งค่าวิดเจ็ต;
Work country;;no;yes;no;;Work country;;ประเทศที่ทำงาน;
Worker;;no;yes;no;;Worker;;พนักงาน;
Worker & manager;;no;yes;no;;Worker & manager;;พนักงานและผู้จัดการ;
Worker ID;;no;yes;no;;Worker ID;;รหัสพนักงาน;
Worker category;;no;yes;no;;Worker category;;หมวดหมู่พนักงาน;
Worker details;;no;yes;no;;Worker details;;รายละเอียดพนักงาน;
Worker name;;no;yes;no;;Worker name;;ชื่อพนักงาน;
Worker self-assessment;;no;yes;no;;Worker self-assessment;;การประเมินตนเองของพนักงาน;
Worker sign-off;;no;yes;no;;Worker sign-off;;การลงนามรับทราบของพนักงาน;
Worker submission;;no;yes;no;;Worker submission;;การส่งงานของพนักงาน;
Workers;;no;yes;no;;Workers;;พนักงาน;
Workflow;;no;yes;no;;Workflow;;เวิร์กโฟลว์;
Workflow section;;no;yes;no;;Workflow section;;ส่วนเวิร์กโฟลว์;
Workflow status;;no;yes;no;;Workflow status;;สถานะเวิร์กโฟลว์;
Workflow step;;no;yes;no;;Workflow step;;ขั้นตอนเวิร์กโฟลว์;
Workflow steps;;no;yes;no;;Workflow steps;;ขั้นตอนของเวิร์กโฟลว์;
Workflow type;;no;yes;no;;Workflow type;;ประเภทเวิร์กโฟลว์;
Year;;no;yes;no;;Year;;ปี;
Years;;no;yes;no;;Years;;ปี;
Your comment;;no;yes;no;;Your comment;;ความคิดเห็นของคุณ;
Your documents;;no;yes;no;;Your documents;;เอกสารของคุณ;
Your email;;no;yes;no;;Your email;;อีเมลของคุณ;
Your observations;;no;yes;no;;Your observations;;การสังเกตของคุณ;
Your view;;no;yes;no;;Your view;;มุมมองของคุณ;
