term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;tr-TR;tr-TR_description
Sent to;;no;yes;no;;Sent to;;Gönderilen;
Separator;;no;yes;no;;Separator;;Ayırıcı;
Session timeout;;no;yes;no;;Session timeout;;Oturum zaman aşımı;
Settings;;no;yes;no;;Settings;;Ayarlar;
Setup;;no;yes;no;;Setup;;Kurulum;
Share;;no;yes;no;;Share;;Paylaş;
Share feedback;;no;yes;no;;Share feedback;;Geri bildirimler paylaşın;
Share this feedback;;no;yes;no;;Share this feedback;;Bu geri bildirimleri paylaşın;
Share with;;no;yes;no;;Share with;;ile paylaş;
Share your insights;;no;yes;no;;Share your insights;;İçgörülerinizi paylaşın;
Share your thoughts;;no;yes;no;;Share your thoughts;;Düşüncelerinizi paylaşın;
Shared;;no;yes;no;;Shared;;Paylaşılan;
Shared feedback;;no;yes;no;;Shared feedback;;Paylaşılan geri bildirimler;
Shared goals;;no;yes;no;;Shared goals;;Paylaşılan hedefler;
Shared with;;no;yes;no;;Shared with;;ile paylaşıldı;
Shared with me;;no;yes;no;;Shared with me;;Benimle paylaşılan;
Sharing;;no;yes;no;;Sharing;;Paylaşım;
Short;;no;yes;no;;Short;;Kısa;
Show;;no;yes;no;;Show;;Göster;
Show all;;no;yes;no;;Show all;;Tümünü göster;
Since request;;no;yes;no;;Since request;;İstekten beri;
Situation;;no;yes;no;;Situation;;Durum;
Situations;;no;yes;no;;Situations;;Durumlar;
Skill & Competency Groups;;no;yes;no;;Skill & Competency Groups;;Beceri ve Yeterlilik Grupları;
Skill & competency groups;;no;yes;no;;Skill & competency groups;;Beceri ve yetkinlik grupları;
Skills;;no;yes;no;;Skills;;Beceriler;
Skills & competency groups;;no;yes;no;;Skills & competency groups;;Beceri ve yetkinlik grupları;
Snapshot;;no;yes;no;;Snapshot;;Anlık Görüntü;
Snapshot Manager;;no;yes;no;;Snapshot Manager;;Anlık Görüntü Yöneticisi;
Snapshot details;;no;yes;no;;Snapshot details;;Anlık görüntü ayrıntıları;
Snapshots;;no;yes;no;;Snapshots;;Anlık Görüntüler;
Source;;no;yes;no;;Source;;Kaynak;
Stage;;no;yes;no;;Stage;;Aşama;
Standard;;no;yes;no;;Standard;;Standart;
Start;;no;yes;no;;Start;;Başlat;
Start date;;no;yes;no;;Start date;;Başlangıç tarihi;
Start date in company;;no;yes;no;;Start date in company;;Şirkette başlama tarihi;
Start time;;no;yes;no;;Start time;;Başlangıç zamanı;
State;;no;yes;no;;State;;Eyalet;
Statement generation;;no;yes;no;;Statement generation;;Beyan oluşturma;
Statements;;no;yes;no;;Statements;;Bildirimler;
Status;;no;yes;no;;Status;;Durum;
Status by org. level;;no;yes;no;;Status by org. level;;Kurumsal seviyeye göre durum;
Step curve;;no;yes;no;;Step curve;;Adım eğrisi;
Step end date;;no;yes;no;;Step end date;;Adım bitiş tarihi;
Stock;;no;yes;no;;Stock;;Hisse Senedi;
Street address;;no;yes;no;;Street address;;Açık adres;
Subgroups;;no;yes;no;;Subgroups;;Alt gruplar;
Subject;;no;yes;no;;Subject;;Konu;
Submit;;no;yes;no;;Submit;;Gönder;
Submit to manager;;no;yes;no;;Submit to manager;;Yöneticiye gönder;
Submitted;;no;yes;no;;Submitted;;Gönderildi;
Success;;no;yes;no;;Success;;Başarılı;
Suggested agenda;;no;yes;no;;Suggested agenda;;Önerilen gündem;
Sum;;no;yes;no;;Sum;;Toplam;
Summary;;no;yes;no;;Summary;;Özet;
System;;no;yes;no;;System;;Sistem;
System populations;;no;yes;no;;System populations;;Sistem popülasyonları;
TOTAL;;no;yes;no;;TOTAL;;TOPLAM;
Tag;;no;yes;no;;Tag;;Etiket;
Tag library;;no;yes;no;;Tag library;;Etiket kitaplığı;
Tags;;no;yes;no;;Tags;;Etiketler;
Talent Review;;no;yes;no;;Talent Review;;Yetenek Değerlendirmer;
Target;;no;yes;no;;Target;;Hedef;
Target bonus;;no;yes;no;;Target bonus;;Hedef prim;
Target budget;;no;yes;no;;Target budget;;Hedef bütçe;
Team;;no;yes;no;;Team;;Ekip;
Team planner view;;no;yes;no;;Team planner view;;Ekip planlayıcısı görünümü;
Team requests;;no;yes;no;;Team requests;;Ekip talepleri;
Template;;no;yes;no;;Template;;Şablon;
Template document;;no;yes;no;;Template document;;Şablon belge;
Template widget settings;;no;yes;no;;Template widget settings;;Şablon pencere öğesi ayarları;
Templates;;no;yes;no;;Templates;;Şablonlar;
Text;;no;yes;no;;Text;;Metin;
Text field;;no;yes;no;;Text field;;Metin alanı;
Thanks;;no;yes;no;;Thanks;;Teşekkürler;
Then;;no;yes;no;;Then;;Sonra;
Time in role;;no;yes;no;;Time in role;;Görevde geçirilen süre;
Time zone;;no;yes;no;;Time zone;;Saat dilimi;
Timeline;;no;yes;no;;Timeline;;Zaman çizelgesi;
Title;;no;yes;no;;Title;;Başlık;
Today;;no;yes;no;;Today;;Bugün;
Toggle;;no;yes;no;;Toggle;;Aç/kapat;
Total;;no;yes;no;;Total;;Toplam;
Total behaviors;;no;yes;no;;Total behaviors;;Toplam davranışlar;
Total compensation;;no;yes;no;;Total compensation;;Toplam ücretlendirme;
Total entities;;no;yes;no;;Total entities;;Toplam varlıklar;
Total goals;;no;yes;no;;Total goals;;Toplam goller;
Total reviews;;no;yes;no;;Total reviews;;Toplam değerlendirmer;
Total score;;no;yes;no;;Total score;;Toplam puan;
Total workers;;no;yes;no;;Total workers;;Toplam Çalışan sayısı;
Tracking;;no;yes;no;;Tracking;;Takip;
Tracking status;;no;yes;no;;Tracking status;;Takip durumu;
Training data;;no;yes;no;;Training data;;Eğitim verileri;
True;;no;yes;no;;True;;Doğru;
Trust;;no;yes;no;;Trust;;Güven;
Try again;;no;yes;no;;Try again;;Tekrar deneyin;
Type;;no;yes;no;;Type;;Tür;
Type part of a name;;no;yes;no;;Type part of a name;;Bir ismin bir kısmını yazın;
Type weight;;no;yes;no;;Type weight;;Ağırlık türü;
Type your message here;;no;yes;no;;Type your message here;;Mesajınızı buraya yazın;
Types;;no;yes;no;;Types;;Türler;
Unavailable;;no;yes;no;;Unavailable;;Kullanılamıyor;
Unclear;;no;yes;no;;Unclear;;Belirsiz;
Under review;;no;yes;no;;Under review;;Değerlendiriliyor;
Unexpected error;;no;yes;no;;Unexpected error;;Beklenmeyen hata;
Unhelpful;;no;yes;no;;Unhelpful;;Yararsız;
Unique logins;;no;yes;no;;Unique logins;;Benzersiz girişler;
Unit;;no;yes;no;;Unit;;Birim;
Unrated;;no;yes;no;;Unrated;;Derecelendirilmemiş;
Unrelease;;no;yes;no;;Unrelease;;Yayından kaldır;
Unreleased;;no;yes;no;;Unreleased;;Yayından kaldırılmış;
Unsaved changes;;no;yes;no;;Unsaved changes;;Kaydedilmemiş değişiklikler;
Unselect all;;no;yes;no;;Unselect all;;Tümünün seçimini kaldır;
Upcoming;;no;yes;no;;Upcoming;;Yaklaşan;
Upcoming check-ins;;no;yes;no;;Upcoming check-ins;;Yaklaşan check-in görüşmeleri;
Update;;no;yes;no;;Update;;Güncelle;
Updated;;no;yes;no;;Updated;;Güncellendi;
Updated by;;no;yes;no;;Updated by;;Güncelleyen;
Upload;;no;yes;no;;Upload;;Yükle;
Upload behavior;;no;yes;no;;Upload behavior;;Davranış yükle;
Upload file;;no;yes;no;;Upload file;;Dosya yükle;
Upload the completed file;;no;yes;no;;Upload the completed file;;Tamamlanmış dosyayı yükleyin;
Upload the modified Excel file;;no;yes;no;;Upload the modified Excel file;;Değiştirilmiş Excel dosyasını yükleyin;
Uploaded by;;no;yes;no;;Uploaded by;;Yükleyen;
Uploaded files;;no;yes;no;;Uploaded files;;Yüklenen dosyalar;
Uploading;;no;yes;no;;Uploading;;Yükleniyor;
Usage;;no;yes;no;;Usage;;Kullanım;
Usage details;;no;yes;no;;Usage details;;Kullanım ayrıntıları;
Used;;no;yes;no;;Used;;Kullanıldı;
Used in;;no;yes;no;;Used in;;Kullanıldığı yer;
Useful information;;no;yes;no;;Useful information;;Faydalı bilgiler;
User;;no;yes;no;;User;;Kullanıcı;
User Security;;no;yes;no;;User Security;;Kullanıcı Güvenliği;
User local time;;no;yes;no;;User local time;;Kullanıcı yerel saati;
Username;;no;yes;no;;Username;;Kullanıcı adı;
Users;;no;yes;no;;Users;;Kullanıcılar;
Users who sent feedback;;no;yes;no;;Users who sent feedback;;Geri bildirimler gönderen kullanıcılar;
Users with no goals;;no;yes;no;;Users with no goals;;Hedefi olmayan kullanıcılar;
Validate;;no;yes;no;;Validate;;Doğrula;
Validation;;no;yes;no;;Validation;;Doğrulama;
Value;;no;yes;no;;Value;;Değer;
Value type;;no;yes;no;;Value type;;Değer türü;
Values;;no;yes;no;;Values;;Değerler;
Version;;no;yes;no;;Version;;Sürüm;
View;;no;yes;no;;View;;Görüntüle;
View all;;no;yes;no;;View all;;Tümünü görüntüle;
View my received feedback;;no;yes;no;;View my received feedback;;Aldığım geri bildirimleri görüntüleyin;
View review;;no;yes;no;;View review;;İncelemeyi görüntüle;
Visibility;;no;yes;no;;Visibility;;Görünürlük;
Weight;;no;yes;no;;Weight;;Ağırlık;
Weighted score;;no;yes;no;;Weighted score;;Ağırlıklı puan;
Widget settings;;no;yes;no;;Widget settings;;Pencere öğesi ayarları;
Work country;;no;yes;no;;Work country;;Çalışma ülkesi;
Worker;;no;yes;no;;Worker;;Çalışan;
Worker & manager;;no;yes;no;;Worker & manager;;Çalışan ve yönetici;
Worker ID;;no;yes;no;;Worker ID;;Çalışan Kimliği;
Worker category;;no;yes;no;;Worker category;;Çalışan kategorisi;
Worker details;;no;yes;no;;Worker details;;Çalışan ayrıntıları;
Worker name;;no;yes;no;;Worker name;;Çalışan adı;
Worker self-assessment;;no;yes;no;;Worker self-assessment;;Çalışanın kendi kendine değerlendirmesi;
Worker sign-off;;no;yes;no;;Worker sign-off;;Çalışan onayı;
Worker submission;;no;yes;no;;Worker submission;;Çalışan gönderimi;
Workers;;no;yes;no;;Workers;;Çalışanlar;
Workflow;;no;yes;no;;Workflow;;İş akışı;
Workflow section;;no;yes;no;;Workflow section;;İş akışı bölümü;
Workflow status;;no;yes;no;;Workflow status;;İş akışı durumu;
Workflow step;;no;yes;no;;Workflow step;;İş akışı adımı;
Workflow steps;;no;yes;no;;Workflow steps;;İş akışı adımları;
Workflow type;;no;yes;no;;Workflow type;;İş akışı türü;
Write;;no;yes;no;;Write;;Yazdır;
Year;;no;yes;no;;Year;;Yıl;
Years;;no;yes;no;;Years;;Yıl;
Your comment;;no;yes;no;;Your comment;;Yorumunuz;
Your documents;;no;yes;no;;Your documents;;Belgeleriniz;
Your email;;no;yes;no;;Your email;;E-posta adresiniz;
Your observations;;no;yes;no;;Your observations;;Gözlemleriniz;
Your view;;no;yes;no;;Your view;;Sizin görüşünüz;
