term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,es-ES,es-ES_description,it-IT,it-IT_description,is-IS,is-IS_description,sv-SE,sv-SE_description
Significant focus groups (before raises),,FALSE,TRUE,FALSE,PayAnalytics,Significant focus groups (before raises),,Groupes de discussion importants (avant les augmentations),,Signifikante Fokusgruppen (vor den Gehaltserhöhungen),,Grupos focales importantes (antes de los aumentos),,Focus group significativi (prima dei rilanci),,,,Betydande fokusgrupper (före höjningar),
Similarity score,,FALSE,TRUE,FALSE,PayAnalytics,Similarity score,,Score de similarité,,Ähnlichkeitsscore,,Puntuación de similitud,,Punteggio di somiglianza,,Samanburðarskor,,Likhetspoäng,
Size of brackets,,FALSE,TRUE,FALSE,PayAnalytics,Size of brackets,,Taille des fourchettes,,Klassengröße,,Tamaño de los tramos,,Dimensione delle fasce,,Stærð bila,,Gruppernas storlek,
Size of value ranges,,FALSE,TRUE,FALSE,PayAnalytics,Size of value ranges,,Taille des plages de valeurs,,Größe der Wertebereiche,,Tamaño de los rangos de valor,,Dimensione degli intervalli di valori,,Stærð stigaspannar,,Storlek på värdeintervall,
Some employees are part-time,,FALSE,TRUE,FALSE,PayAnalytics,Some employees are part-time,,Certains employés sont à temps partiel,,Einige Mitarbeitende sind teilzeitbeschäftigt,,Algunos empleados trabajan a media jornada,,Alcuni dipendenti sono part-time,,Fyrirtækið er með starfsfólk í hlutastarfi,,Vissa anställda arbetar deltid,
Specify target pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Specify target pay gap,,Spécifiez l'écart salarial cible,,Angestrebte Verdienstlücke angeben,,Especificar brecha salarial objetivo,,Specifica divario retributivo target,,Tilgreindu markmiðsfjárveitingu,,Ange mål för lönegap,
Sub-factor,,FALSE,TRUE,FALSE,PayAnalytics,Sub-factor,,Sous-facteur,,Unterfaktor,,Subfactor,,Sotto-fattore,,Matsþáttur,,Delfaktor,
Suggested compensation,,FALSE,TRUE,FALSE,PayAnalytics,Suggested compensation,,Rémunération suggérée,,Vorgeschlagenes Gehalt,,Remuneración sugerida,,Retribuzione suggerita,,Launatillaga,,Föreslagen lön,
Suggested compensation breakdown,,FALSE,TRUE,FALSE,PayAnalytics,Suggested compensation breakdown,,Répartition de la rémunération suggérée,,Vorgeschlagene Aufschlüsselung der Vergütung,,Desglose de la remuneración sugerida,,Ripartizione della retribuzione suggerita,,Sundurliðun á launatillögu,,Analys av föreslagen lön,
Suggested raise,,FALSE,TRUE,FALSE,PayAnalytics,Suggested raise,,Augmentation suggérée,,Vorgeschlagene Gehaltserhöhung,,Aumento sugerido,,Aumento suggerito,,Hækkunartillaga,,Föreslagen löneökning,
Summary of jobs in evaluation,,FALSE,TRUE,FALSE,PayAnalytics,Summary of jobs in evaluation,,Résumé des emplois à évaluer,,Zusammenfassung der Tätigkeiten in der Bewertung,,Resumen de los puestos de trabajo en valoración,,Riepilogo dei lavori in valutazione,,Samantekt á störfum í starfsmati,,Sammanfattning av jobb i utvärdering,
Target budget,,FALSE,TRUE,FALSE,PayAnalytics,Target budget,,Spécifiez le budget,,Zielbudget,,Presupuesto objetivo,,Specifica budget,,Markmiðsfjárveiting,,Målbudget,
Target gap,,FALSE,TRUE,FALSE,PayAnalytics,Target gap,,Écart cible,,Ziel-Gefälle,,Brecha objetivo,,Divario target,,Launabilsmarkmið,,Målgap,
Target group,,FALSE,TRUE,FALSE,PayAnalytics,Target group,,Groupe cible,,Zielgruppe,,Grupo objetivo,,Gruppo target,,Markhópur,,Målgrupp,
Target pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Target pay gap,,Écart salarial cible,,Ziel-Lohnlücke,,Brecha salarial objetivo,,Divario retributivo target,,Markmið um mældan launamun,,Mål för lönegap,
Target reached,,FALSE,TRUE,FALSE,PayAnalytics,Target reached,,Objectif atteint,,Ziel erreicht,,Objetivo alcanzado,,Obiettivo raggiunto,,,,Mål uppnådd,
Top 10% representation,,FALSE,TRUE,FALSE,PayAnalytics,Top 10% representation,,Représentation du 10% supérieur,,Repräsentation der obersten 10 %,,Representación en el 10% superior,,Rappresentanza del 10% superiore,,Fjöldi í efstu 10%,,De 10 % mest representerade,
Top level category,,FALSE,TRUE,FALSE,PayAnalytics,Top level category,,Catégorie de niveau supérieur,,Übergeordnete Kategorie,,Categoría de primer nivel,,Categoria di primo livello,,Efsta stig flokkunar,,Överordnad kategori,
Top quartile,,FALSE,TRUE,FALSE,PayAnalytics,Top quartile,,Quartile supérieur,,Oberstes Quartil,,Cuartil superior,,Quartile superiore,,Efsti fjórðungur,,Översta kvartilen,
Top/bottom quartiles,,FALSE,TRUE,FALSE,PayAnalytics,Top/bottom quartiles,,Quartiles supérieurs et inférieurs,,Obere/untere Quartile,,Cuartiles superiores/inferiores,,Quartili superiore/inferiore,,Topp/botnfjórðungar,,Övre/undre kvartiler,
Total compensation,,FALSE,TRUE,FALSE,PayAnalytics,Total compensation,,Indemnisation totale,,Gesamtvergütung,,Compensación total,,Compensazione totale,,,,Total ersättning,
Total compensation - Pay Gap,,FALSE,TRUE,FALSE,PayAnalytics,Total compensation - Pay Gap,,Rémunération totale - Écart salarial,,Gesamtvergütung — Lohngefälle,,Compensación total: brecha salarial,,Compensazione totale - Retribuzione,,,,Total ersättning - Löneskillnad,
Total compensation - Quartile pay bands,,FALSE,TRUE,FALSE,PayAnalytics,Total compensation - Quartile pay bands,,Rémunération totale - Échelle salariale par quartile,,Gesamtvergütung — Gehaltsstufen in vierteljährlichen Gehaltsstufen,,Compensación total: bandas salariales del cuartil,,Compensazione totale - Fasce retributive quartili,,,,Total ersättning - kvartillöneintervall,
Total compensation after raises,,FALSE,TRUE,FALSE,PayAnalytics,Total compensation after raises,,Rémunération totale après augmentations,,Gesamtvergütung nach Gehaltserhöhungen,,Compensación total tras los aumentos,,Compensazione totale dopo gli aumenti,,Heildarlaun eftir launahækkanir,,Total ersättning efter höjningar,
Total compensation by categories of workers,,FALSE,TRUE,FALSE,PayAnalytics,Total compensation by categories of workers,,Rémunération totale par catégorie de travailleurs,,Gesamtvergütung nach Kategorien von Arbeitnehmern,,Compensación total por categorías de trabajadores,,Compensazione totale per categorie di lavoratori,,,,Total ersättning per kategori av arbetstagare,
Total cost after raises,,FALSE,TRUE,FALSE,PayAnalytics,Total cost after raises,,Coût total après augmentation,,Gesamtkosten nach Gehaltserhöhungen,,Coste total después de los aumentos,,Costo totale dopo gli aumenti,,,,Totala kostnader efter höjningar,
Total cost before raises,,FALSE,TRUE,FALSE,PayAnalytics,Total cost before raises,,Coût total avant les augmentations,,Gesamtkosten vor Gehaltserhöhungen,,Coste total antes de los aumentos,,Costo totale prima degli aumenti,,,,Totala kostnader före höjningar,
Total cost of raises,,FALSE,TRUE,FALSE,PayAnalytics,Total cost of raises,,Coût total des augmentations,,Gesamtkosten der Erhöhungen,,Coste total de los aumentos,,Costo totale degli aumenti,,Heildarkostnaður við launahækkanir,,Total kostnad för löneökningar,
Total cost of raises in %,,FALSE,TRUE,FALSE,PayAnalytics,Total cost of raises in %,,Coût total des augmentations en %,,Gesamtkosten der Erhöhungen in%,,Coste total de los aumentos en%,,Costo totale degli aumenti in%,,,,Totala kostnader för höjningar i%,
Total cost with raises,,FALSE,TRUE,FALSE,PayAnalytics,Total cost with raises,,Coût total avec augmentations,,Gesamtkosten mit Gehaltserhöhungen,,Coste total con aumentos,,Costo totale con aumenti,,,,Totalkostnad med höjningar,
Total extra salary,,FALSE,TRUE,FALSE,PayAnalytics,Total extra salary,,Rémunération supplémentaire totale,,Gesamtes zusätzliches Gehalt,,Remuneración extrasalarial total,,Totale stipendio extra,,Heildar viðbótarlaun,,Total extra lön,
Total gross annual remuneration,,FALSE,TRUE,FALSE,PayAnalytics,Total gross annual remuneration,,,,,,Remuneración anual bruta total,,Totale retribuzione annua lorda,,Heildar árslaun (brúttó),,Sammanlagd årlig bruttoersättning,
Total gross annual remuneration level,,FALSE,TRUE,FALSE,PayAnalytics,Total gross annual remuneration level,,,,,,Nivel de remuneración anual bruta total,,Livello di retribuzione totale annua lorda,,Fjórðungskipting heildarlauna (brúttó),,Total bruttolönsnivå per år,
Total headcount,,FALSE,TRUE,FALSE,PayAnalytics,Total headcount,,Effectif total,,Gesamtzahl der Mitarbeiter,,Plantilla total,,Numero totale di dipendenti,,,,Totalt antal anställda,
Total points,,FALSE,TRUE,FALSE,PayAnalytics,Total points,,Points totaux,,Gesamtpunktzahl,,Puntos totales,,Punti totali,,Heildarstig,,Totalt antal poäng,
Total salary,,FALSE,TRUE,FALSE,PayAnalytics,Total salary,,Rémunération totale,,Gesamtgehalt,,Remuneración total,,Totale stipendio,,Heildarlaun,,Total lön,
Total salary components,,FALSE,TRUE,FALSE,PayAnalytics,Total salary components,,Éléments de la rémunération totaux,,Gesamte Gehaltsbestandteile,,Componentes de remuneración totales,,Componenti salariali totali,,Heildarlaunaþættir,,Totala lönekomponenter,
Unadjusted gender pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Unadjusted gender pay gap,,Écart salarial non ajusté entre les femmes et les hommes,,Unbereinigte Lohnlücke,,Brecha salarial de género no ajustada,,Divario retributivo di genere non corretto,,Óleiðrétt launabil kynja,,Ojusterade löneskillnader mellan könen,
Unadjusted pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Unadjusted pay gap,,Écart salarial non ajusté,,Unbereinigte Lohnlücke,,Brecha salarial no ajustada,,Divario retributivo non rettificato,,Óleiðrétt launabil,,Ojusterat lönegap,
Unadjusted pay gap after raises,,FALSE,TRUE,FALSE,PayAnalytics,Unadjusted pay gap after raises,,Écart salarial non ajusté après les augmentations,,Unbereinigte Lohnlücke nach Erhöhungen,,Brecha salarial sin ajustar tras los aumentos,,Divario retributivo non corretto dopo gli aumenti,,,,Ojusterad löneskillnad efter höjningar,
Unadjusted pay gap before raises,,FALSE,TRUE,FALSE,PayAnalytics,Unadjusted pay gap before raises,,Écart salarial non ajusté avant les augmentations,,Unbereinigte Lohnlückevor Erhöhungen,,Brecha salarial no ajustada antes de los aumentos,,Divario retributivo non corretto prima degli aumenti,,,,Ojusterad löneskillnad före höjningar,
Unadjusted pay gap by category,,FALSE,TRUE,FALSE,PayAnalytics,Unadjusted pay gap by category,,Écart salarial non ajusté par catégorie,,Unbereinigtes Lohngefälle nach Kategorie,,Brecha salarial no ajustada por categoría,,Differenza retributiva non rettificata per categoria,,Óleiðrétt launabil eftir flokkum,,Ojusterad löneskillnad per kategori,
Understanding & analyzing the compensation model,,FALSE,TRUE,FALSE,PayAnalytics,Understanding & analyzing the compensation model,,Comprendre et analyser le modèle de rémunération,,Das Vergütungsmodell verstehen und analysieren,,Comprender y analizar el modelo de compensación,,Comprensione e analisi del modello retributivo,,,,Förstå och analysera kompensationsmodellen,
Universal fair pay check report,,FALSE,TRUE,FALSE,PayAnalytics,Universal fair pay check report,,Rapport universal fair pay check,,Universal Fair Pay Check Bericht,,Informe universal fair pay check,,,,Universal fair pay check skýrsla,,Universell rapport om rättvisa löner,
Value point mapping,,FALSE,TRUE,FALSE,PayAnalytics,Value point mapping,,Correspondance des points de valeur,,Zuweisung von Wertpunkten,,Asignación de los puntos de valor,,Mappatura dei punti di valore,,Pörun starfaflokka og stiga,,Kartläggning av värdepunkter,
Value point range,,FALSE,TRUE,FALSE,PayAnalytics,Value point range,,Plage des points de valeur,,Wertepunktbereich,,Rango del punto de valor,,Intervallo di punti di valore,,Stigaspönn,,Värdepoängsintervall,
Value points for comparison group,,FALSE,TRUE,FALSE,PayAnalytics,Value points for comparison group,,Points de valeur pour le groupe de comparaison,,Wertepunkte für Vergleichsgruppe,,Puntos de valor para el grupo de comparación,,Punti di valore per il gruppo di confronto,,Stig fyrir samanburðarhóp,,Värdepoäng för jämförelsegrupp,
Value range,,FALSE,TRUE,FALSE,PayAnalytics,Value range,,Plage de valeurs,,Wertebereich,,Rango de valor,,Intervallo di valori,,Launaspönn,,Värdeintervall,
Value range comparison,,FALSE,TRUE,FALSE,PayAnalytics,Value range comparison,,Vue comparative des plages de valeurs,,Wertebereich-Vergleichs­ansicht,,Vista comparativa del rango de valor,,Visualizzazione di confronto dell'intervallo di valori,,Samanburður launaspanna,,Jämförelse av värdeintervall,
Value-based Comparison,,FALSE,TRUE,FALSE,PayAnalytics,Value-based Comparison,,Comparaison selon la valeur,,Wertebasierter Vergleich,,Comparación basada en el valor,,Confronto basato sul valore,,Virðismiðaður samanburður,,Värdebaserad jämförelse,
Weights,,FALSE,TRUE,FALSE,PayAnalytics,Weights,,Pondérations,,Gewichte,,Ponderaciones,,Pesi,,Vægi,,Vikter,
Weights (%),,FALSE,TRUE,FALSE,PayAnalytics,Weights (%),,Pondérations (%),,Gewichte (%),,Ponderaciones (%),,Pesi (%),,Vægi (%),,Vikter (%),
Workforce analytics,,FALSE,TRUE,FALSE,PayAnalytics,Workforce analytics,,Analyse des effectifs,,Analyse der Belegschaft,,Análisis de la fuerza laboral,,Analisi della forza lavoro,,,,Analyser av arbetskraft,
Workforce analytics configuration,,FALSE,TRUE,FALSE,PayAnalytics,Workforce analytics configuration,,Configuration de l'analyse du personnel,,Konfiguration für Gleichbehandlung am Arbeitsplatz,,Configuración del análisis del personal,,Configurazione dell'analisi del personale,,Stillingar jafnréttisvísa,,Inställningar för personalanalys,
Workforce composition,,FALSE,TRUE,FALSE,PayAnalytics,Workforce composition,,Composition des effectifs,,Zusammensetzung der Belegschaft,,Composición de la plantilla,,Composizione della forza lavoro,,Samsetning starfsfólks,,Personalstyrkans sammansättning,
Workforce mobility,,FALSE,TRUE,FALSE,PayAnalytics,Workforce mobility,,Mobilité des effectifs,,Mobilität der Belegschaft,,Movilidad de la plantilla,,Mobilità della forza lavoro,,Tilfærslur,,Förflyttningar av personalstyrkan.,
Workforce segmentation,,FALSE,TRUE,FALSE,PayAnalytics,Workforce segmentation,,Segmentation des effectifs,,Segmentierung der Belegschaft,,Segmentación de la plantilla,,Segmentazione della forza lavoro,,Skipting starfsfólks,,Segmentering av personalstyrkan,
Workforce segments,,FALSE,TRUE,FALSE,PayAnalytics,Workforce segments,,Segments des effectifs,,Segmente der Belegschaft,,Segmentos de la plantilla,,Segmenti della forza lavoro,,Skipting starfsfólks,,Segment för personalstyrka,
