term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,en-GB,en-GB_description,it-IT,it-IT_description,th-TH,th-TH_description,es-ES,es-ES_description,pt-PT,pt-PT_description,ja-JP,ja-JP_description,nl-NL,nl-NL_description,tr-TR,tr-TR_description,id-ID,id-ID_description
Review,,no,yes,no,,Review,,Bilan,,Beurteilung,,Review,,Valutazione,,การตรวจสอบ,,Evaluación,,Avaliação,,レビュー,,Beoordeling,,Değerlendirme,,Ulasan,
Review rating,,no,yes,no,,Review rating,,Notation du bilan,,Beurteilungsbewertung,,Review rating,,Valutazione della valutazione,,คะแนนการประเมิน,,Calificación de la revisión,,Classificação da avaliação,,レビュー評価,,Beoordelingsscore,,Değerlendirmer puanı,,Peringkat ulasan,
Role,,no,yes,no,,Role,,Rôle,,Rolle,,Role,,Ruolo,,บทบาท,,Función,,Função,,役割,,Rol,,Görev,,Jabatan,
Round,,no,yes,no,,Round,,Cycle,,Runde,,Round,,Ciclo,,รอบ,,Ronda,,Ronda,,ラウンド,,Ronde,,Tur,,Tahapan,
Salary,,no,yes,no,,Salary,,Salaire,,Gehalt,,Salary,,Stipendio,,เงินเดือน,,Salario,,Salário,,給与,,Salaris,,Maaş,,Gaji,
Salary configuration,,no,yes,no,,Salary configuration,,Configuration du salaire,,Gehaltskonfiguration,,Salary configuration,,Configurazione stipendio,,การกำหนดค่าระบบเงินเดือน,,Configuración del salario,,Configuração salarial,,給与設定,,Salarisconfiguratie,,Maaş yapılandırması,,Konfigurasi gaji,
Secondary hierarchy,,no,yes,no,,Secondary hierarchy,,Hiérarchie secondaire,,Sekundäre Hierarchie,,Secondary hierarchy,,Gerarchia secondaria,,ลำดับชั้นรอง,,Jerarquía secundaria,,Hierarquia secundária,,二次階層,,Secundaire hiërarchie,,İkincil hiyerarşi,,Hierarki sekunder,
Security group,,no,yes,no,,Security group,,Groupe de sécurité,,Sicherheitsgruppe,,Security group,,Gruppo di sicurezza,,กลุ่มความปลอดภัย,,Grupo de seguridad,,Grupo de segurança,,セキュリティグループ,,Beveiligingsgroep,,Güvenlik grubu,,Grup keamanan,
Self-assessment,,no,yes,no,,Self-assessment,,Auto-évaluation,,Selbsteinschätzung,,Self-assessment,,Autovalutazione,,การประเมินตนเอง,,Autoevaluación,,Autoavaliação,,自己評価,,Zelfevaluatie,,Kendi değerlendirmesi,,Penilaian diri,
Self-review,,no,yes,no,,Self-review,,Bilan individuel,,Selbsteinschätzung,,Self-review,,Autorevisione,,การประเมินตนเอง,,Autoevaluación,,Autoavaliação,,自己レビュー,,Zelfevaluatie,,Kendi kendine değerlendirme,,Evaluasi mandiri,
Sensitive Content,,no,yes,no,,Sensitive Content,,Contenu sensible,,Sensible Inhalte,,Sensitive Content,,Contenuto sensibile,,เนื้อหาที่ละเอียดอ่อน,,Contenido sensible,,Conteúdo sensível,,センシティブなコンテンツ,,Gevoelige inhoud,,Hassas İçerik,,Konten Sensitif,
Settings,,no,yes,no,,Settings,,Paramètres,,Einstellungen,,Settings,,Impostazioni,,การตั้งค่า,,Configuración,,Configurações,,設定,,Instellingen,,Ayarlar,,Pengaturan,
Setup,,no,yes,no,,Setup,,Configuration,,Einrichtung,,Setup,,Configurazione,,,,Configuración,,Configuração,,設定,,Instellen,,Kurulum,,Pengaturan,
Share,,no,yes,no,,Share,,Partager,,Teilen,,Share,,Condividi,,แบ่งปัน,,Compartir,,Partilhar,,共有,,Delen,,Paylaş,,Bagikan,
Skill & competency groups,,no,yes,no,,Skill & competency groups,,Groupes de compétences & d'aptitudes,,Fähigkeiten & Kompetenzgruppen,,Skill & competency groups,,Gruppi di abilità e competenze,,กลุ่มทักษะและความสามารถ,,Grupos de habilidades y competencias,,Grupos de habilidades e competências,,スキルおよび能力グループ,,Vaardigheids- en competentiegroepen,,Beceri ve yetkinlik grupları,,Grup keterampilan & kompetensi,
Snapshot,,no,yes,no,,Snapshot,,Image figée,,Schnappschuss,,Snapshot,,Istantanea,,สแน็ปช็อต,,Instantánea,,Instantâneo,,スナップショット,,Momentopname,,Anlık Görüntü,,,
Snapshot Manager,,no,yes,no,,Snapshot Manager,,Manager d'instantané,,Snapshot-Manager,,Snapshot Manager,,Gestore istantanee,,ตัวจัดการ Snapshot,,Administrador de instantáneas,,Gestor de Instantâneos,,スナップショットマネージャー,,,,Anlık Görüntü Yöneticisi,,Manajer Snapshot,
Stage,,no,yes,no,,Stage,,Etape,,Phase,,Stage,,Fase,,ขั้นตอน,,Fase,,Etapa,,ステージ,,Fase,,Aşama,,Tahapan,
Statement generation,,no,yes,no,,Statement generation,,Génération de relevé,,Erstellung von Erklärungen,,Statement generation,,Generazione dell'estratto conto,,การสร้างรายงานบัญชี,,Generación de declaraciones,,Geração de declarações,,明細書の作成,,Overzichtgeneratie,,Beyan oluşturma,,Pembuatan pernyataan,
Step curve,,no,yes,no,,Step curve,,Courbe en escalier,,Stufenkurve,,Step curve,,Curva a gradini,,ขั้นบันได,,Curva escalonada,,Curva de passo,,ステップ曲線,,Stapcurve,,Adım eğrisi,,Kurva transisi,
Tag,,no,yes,no,,Tag,,Etiquette,,,,Tag,,,,แท็ก,,Etiqueta,,Etiqueta,,タグ,,,,Etiket,,,
Tag library,,no,yes,no,,Tag library,,Bibliothèque d'étiquettes,,Tag-Bibliothek,,Tag library,,Libreria dei tag,,แท็กไลบรารี,,Biblioteca de etiquetas,,Biblioteca de etiquetas,,タグライブラリ,,Tagbibliotheek,,Etiket kitaplığı,,Katalog tag,
Talent Review,,no,yes,no,,Talent Review,,Bilan des talents,,Talentbeurteilung,,Talent Review,,Valutazione dei talenti,,การทบทวนศักยภาพบุคลากร,,Revisión del talento,,Revisão de Talento,,タレントレビュー,,,,Yetenek Değerlendirmer,,Peninjauan Talenta,
Target bonus,,no,yes,no,,Target bonus,,Bonus cible,,Zielprämie,,Target bonus,,Bonus obiettivo,,โบนัสเป้าหมาย,,Bono objetivo,,Bónus objetivo,,目標ボーナス,,Doelbonus,,Hedef prim,,Bonus target,
Target budget,,no,yes,no,,Target budget,,Budget cible,,Zielbudget,,Target budget,,Budget target,,งบประมาณเป้าหมาย,,Presupuesto objetivo,,Orçamento alvo,,ターゲット予算,,Doelbudget,,Hedef bütçe,,Anggaran target,
Team planner view,,no,yes,no,,Team planner view,,Vue planificateur d'équipe,,Teamplaner-Ansicht,,Team planner view,,Visualizzazione strumento di pianificazione del team,,มุมมองแพลนเนอร์ของทีม,,Vista del planificador de equipo,,Vista do planeador de equipa,,チームプランナービュー,,Teamplannerweergave,,Ekip planlayıcısı görünümü,,Tampilan perencana tim,
Time in role,,no,yes,no,,Time in role,,Temps dans le poste,,Zeit in der Rolle,,Time in role,,Tempo nel ruolo,,ระยะเวลาในบทบาท,,Tiempo en el puesto,,Tempo na função,,役割の期間,,Tijd in functie,,Görevde geçirilen süre,,Waktu dalam peran,
User Security,,no,yes,no,,User Security,,Sécurité utilisateur,,Benutzersicherheit,,User Security,,Sicurezza utente,,ความปลอดภัยของผู้ใช้,,Seguridad del usuario,,Segurança do Utilizador,,ユーザーセキュリティ,,Gebruikersbeveiliging,,Kullanıcı Güvenliği,,Keamanan Pengguna,
User local time,,no,yes,no,,User local time,,Heure locale de l'utilisateur,,Lokale Zeit des/der Benutzer:in,,User local time,,Ora locale utente,,เวลาท้องถิ่นของผู้ใช้,,Hora local del usuario,,Hora local do utilizador,,ユーザーの現地時刻,,Lokale tijd van de gebruiker,,Kullanıcı yerel saati,,Waktu lokal pengguna,
Username,,no,yes,no,,Username,,Nom d'utilisateur,,Benutzername,,Username,,Nome utente,,ชื่อผู้ใช้,,Nombre de usuario,,Nome de utilizador,,ユーザー名,,Gebruikersnaam,,Kullanıcı adı,,Nama pengguna,
Visibility,,no,yes,no,,Visibility,,Visibilité,,Sichtbarkeit,,Visibility,,Visibilità,,การมองเห็น,,Visibilidad,,Visibilidade,,表示/非表示,,Zichtbaarheid,,Görünürlük,,Visibilitas,
Weight,,no,yes,no,,Weight,,Pondération,,Gewicht,,Weight,,Peso,,น้ำหนัก,,Peso,,Peso,,重み付け,,Gewicht,,Ağırlık,,Berat,
Weighted score,,no,yes,no,,Weighted score,,Score pondéré,,Gewichtete Punktzahl,,Weighted score,,Punteggio ponderato,,คะแนนถ่วงน้ำหนัก,,Puntuación ponderada,,Pontuação ponderada,,加重スコア,,Gewogen score,,Ağırlıklı puan,,Skor berbobot,
Worker,,no,yes,no,,Worker,,Employé(e),,Mitarbeiter:in,,Worker,,Collaboratori,,พนักงาน,,Trabajador,,Trabalhador,,従業員,,Werknemer,,Çalışan,,Pekerja,
Worker category,,no,yes,no,,Worker category,,Catégorie d'employé(e),,Mitarbeiter:in-Kategorie,,Worker category,,Categoria Collaboratori,,หมวดหมู่พนักงาน,,Categoría de trabajador,,Categoria de trabalhador,,従業員カテゴリ,,Werknemercategorie,,Çalışan kategorisi,,Kategori pekerja,
Worker self-assessment,,no,yes,no,,Worker self-assessment,,Auto-évaluation de l'employé(e),,Selbsteinschätzung des/der Mitarbeiter:in,,Worker self-assessment,,Autovalutazione del collaboratore,,การประเมินตนเองของพนักงาน,,Autoevaluación del trabajador,,Autoavaliação do trabalhador,,従業員自己アセスメント,,Zelfevaluatie van de werknemer,,Çalışanın kendi kendine değerlendirmesi,,Evaluasi mandiri pekerja,
Workflow step,,no,yes,no,,Workflow step,,Étape du workflow,,Workflow-Schritt,,Workflow step,,Passaggio del flusso di lavoro,,ขั้นตอนเวิร์กโฟลว์,,Paso del flujo de trabajo,,Etapa do fluxo de trabalho,,ワークフローステップ,,Werkstap,,İş akışı adımı,,Langkah alur kerja,
Workflow type,,no,yes,no,,Workflow type,,Type de workflow,,Workflow-Typ,,Workflow type,,Tipo di flusso di lavoro,,ประเภทเวิร์กโฟลว์,,Tipo de flujo de trabajo,,Tipo de fluxo de trabalho,,ワークフロータイプ,,Werkstroomtype,,İş akışı türü,,Jenis alur kerja,
Absence,,no,yes,no,,Absence,,,,Abwesenheit,,Absence,,Assenza,,การขาดงาน,,Ausencia,,Ausência,,欠勤,,Afwezigheid,,Devamsızlık,,Ketidakhadiran,
Action,,no,yes,no,,Action,,,,Aktion,,Action,,Azione,,การดำเนินการ,,Acción,,Ação,,アクション,,Actie,,Eylem,,Tindakan,
Audit,,no,yes,no,,Audit,,,,Prüfung,,Audit,,,,การประเมินผลงาน,,Auditoría,,Auditoria,,監査,,,,Denetim,,,
Bonus,,no,yes,no,,Bonus,,,,,,Bonus,,,,โบนัส,,Bono,,Bónus,,ボーナス,,,,,,,
Budget,,no,yes,no,,Budget,,,,,,Budget,,,,งบประมาณ,,Presupuesto,,Orçamento,,予算,,,,Bütçe,,Anggaran,
Chat,,no,yes,no,,Chat,,,,,,Chat,,,,แชต,,,,,,チャット,,,,Sohbet,,Obrolan,
Check-in,,no,yes,no,,Check-in,,,,,,Check-in,,,,การเช็คอิน,,Consulta,,,,チェックイン,,,,Check-in görüşmesi,,,
Conversation & publication,,no,yes,no,,Conversation & publication,,,,Gespräch und Veröffentlichung,,Conversation & publication,,Conversazione e pubblicazione,,การสนทนาและการเผยแพร่,,Conversación y publicación,,Conversa e publicação,,会話と公開,,Gesprek & publicatie,,Görüşme ve yayın,,Pembahasan & publikasi,
Ingestion,,no,yes,no,,Ingestion,,,,Datenaufnahme,,Ingestion,,Acquisizione,,การดึงข้อมูลเข้า,,Ingesta,,Ingestão,,取り込み,,Inladen,,Alım,,Pengambilan data,
Performance,,no,yes,no,,Performance,,,,Leistung,,Performance,,Prestazioni,,ผลการปฏิบัติงาน,,Desempeño,,Desempenho,,業績,,Prestatie,,Performans,,Kinerja,
Plan,,no,yes,no,,Plan,,,,,,Plan,,Piano,,แผน,,,,Plano,,計画,,,,,,Rencana,
Population,,no,yes,no,,Population,,,,,,Population,,Popolazione,,ประชากร,,Población,,População,,母集団,,Populatie,,Popülasyon,,Populasi,
Situation,,no,yes,no,,Situation,,,,,,Situation,,Situazione,,สถานการณ์,,Situación,,Situação,,状況,,Situatie,,Durum,,Situasi,
Validation,,no,yes,no,,Validation,,,,Validierung,,Validation,,Convalida,,การตรวจสอบความถูกต้อง,,Validación,,Validação,,検証,,Validatie,,Doğrulama,,Validasi,
Workbench,,no,yes,no,,Workbench,,,,,,Workbench,,,,,,Banco de trabajo,,Bancada de trabalho,,ワークベンチ,,Werkbank,,,,,
Workflow,,no,yes,no,,Workflow,,,,,,Workflow,,Flusso di lavoro,,เวิร์กโฟลว์,,Flujo de trabajo,,Fluxo de trabalho,,ワークフロー,,Werkstroom,,İş akışı,,Alur kerja,
